"Part","File","Num","Title"
"00","00-how-to-use-this-document.md","0.1","Who you are"
"00","00-how-to-use-this-document.md","0.2","Your authority and your freedom"
"00","00-how-to-use-this-document.md","0.3","What you must never do"
"00","00-how-to-use-this-document.md","0.4","Precedence, when sources disagree"
"00","00-how-to-use-this-document.md","0.5","Definition of done, for every single task"
"00","00-how-to-use-this-document.md","0.6","When to ask instead of assume"
"01","01-the-product-in-one-page.md","1.1","What LaughTail SMP is"
"01","01-the-product-in-one-page.md","1.2","The five pillars"
"01","01-the-product-in-one-page.md","1.3","The one-sentence test"
"01","01-the-product-in-one-page.md","1.4","Scale reality (agreed with the owner, not up for debate)"
"03","03-legal-and-commercial-foundation.md","3.1","What Mojang actually permits"
"03","03-legal-and-commercial-foundation.md","3.2","The four conditions, and how LaughTail satisfies each"
"03","03-legal-and-commercial-foundation.md","3.3","The trap: out-of-game gating"
"03","03-legal-and-commercial-foundation.md","3.4","Donations"
"03","03-legal-and-commercial-foundation.md","3.5","No gambling: the exact rule, and how to enforce it"
"03","03-legal-and-commercial-foundation.md","3.5.1","Enforcing the wagering ban - the one rule that needs real engineering"
"03","03-legal-and-commercial-foundation.md","3.6","What we sell, and what we never sell"
"03","03-legal-and-commercial-foundation.md","3.7","The hidden superpower of the paid gate"
"03","03-legal-and-commercial-foundation.md","3.8","Obligations beyond Mojang"
"03","03-legal-and-commercial-foundation.md","3.9","Acceptance criteria for this section"
"04","04-platform-versions-and-client-support.md","4.1","Server software"
"04","04-platform-versions-and-client-support.md","4.2","Minecraft version policy"
"04","04-platform-versions-and-client-support.md","4.3","Client version support"
"04","04-platform-versions-and-client-support.md","4.4","Bedrock crossplay"
"04","04-platform-versions-and-client-support.md","4.5","Lunar Client and the pause menu question"
"05","05-infrastructure-and-the-portability-contract.md","5.1","The portability contract - eight rules, no exceptions"
"05","05-infrastructure-and-the-portability-contract.md","5.2","The stack"
"05","05-infrastructure-and-the-portability-contract.md","5.3","Ports - the complete list"
"05","05-infrastructure-and-the-portability-contract.md","5.4","Backups - the only part of infrastructure that is not negotiable"
"05","05-infrastructure-and-the-portability-contract.md","5.5","Security baseline"
"05","05-infrastructure-and-the-portability-contract.md","5.6","Repository layout"
"05","05-infrastructure-and-the-portability-contract.md","5.7","Acceptance criteria"
"06","06-performance-the-tick-budget.md","6.1","The targets"
"06","06-performance-the-tick-budget.md","6.2","The rule that keeps this true forever"
"06","06-performance-the-tick-budget.md","6.3","The profiling workflow"
"06","06-performance-the-tick-budget.md","6.4","Configuration baseline"
"06","06-performance-the-tick-budget.md","6.5","World size is a performance setting"
"06","06-performance-the-tick-budget.md","6.6","The performance watchdog (build this, do not install it)"
"06","06-performance-the-tick-budget.md","6.7","What NOT to install, and why"
"06","06-performance-the-tick-budget.md","6.8","The load test - required before launch and before every migration"
"06","06-performance-the-tick-budget.md","6.9","Acceptance criteria"
"07","07-world-and-gameplay-core.md","7.1","Worlds"
"07","07-world-and-gameplay-core.md","7.2","Difficulty and death rules"
"07","07-world-and-gameplay-core.md","7.3","Land claims - the decision, and why"
"07","07-world-and-gameplay-core.md","7.4","The resource world (do not skip this)"
"07","07-world-and-gameplay-core.md","7.5","Spawn"
"08","08-the-economy.md","8.1","Principles"
"08","08-the-economy.md","8.2","Selling and buying"
"08","08-the-economy.md","8.3","The arbitrage guard - the exploit you must not ship"
"08","08-the-economy.md","8.4","Auction house, order book, and safe trading"
"08","08-the-economy.md","8.5","Money sinks - where Berries go to die"
"08","08-the-economy.md","8.6","Acceptance criteria"
"09","09-rank-seasons-and-the-one-champion.md","9.1","The ranking rule"
"09","09-rank-seasons-and-the-one-champion.md","9.2","Combat rating - Elo, with anti-farm protection"
"09","09-rank-seasons-and-the-one-champion.md","9.3","The rank ladder"
"09","09-rank-seasons-and-the-one-champion.md","9.4","Monthly reset"
"09","09-rank-seasons-and-the-one-champion.md","9.5","The countdown campaign"
"09","09-rank-seasons-and-the-one-champion.md","9.6","THE SEASON CHAMPION - exactly one per season"
"09","09-rank-seasons-and-the-one-champion.md","9.7","The Hall of Fame"
"09","09-rank-seasons-and-the-one-champion.md","9.8","Stats tracking"
"09","09-rank-seasons-and-the-one-champion.md","9.9","Acceptance criteria"
"10","10-the-rank-gated-shop.md","10.1","The rule"
"10","10-the-rank-gated-shop.md","10.2","The eight tiers"
"10","10-the-rank-gated-shop.md","10.3","Implementation rules"
"10","10-the-rank-gated-shop.md","10.4","What happens to shop access at the monthly reset"
"11","11-cosmetics-and-the-animation-question-answered.md","11.1","The key technical fact"
"11","11-cosmetics-and-the-animation-question-answered.md","11.2","Honest capability limits - never oversell these"
"11","11-cosmetics-and-the-animation-question-answered.md","11.3","The cosmetic ladder"
"11","11-cosmetics-and-the-animation-question-answered.md","11.4","The two unbreakable cosmetic rules"
"11","11-cosmetics-and-the-animation-question-answered.md","11.5","The particle budget - hard numbers"
