"Key","File","Heading","Start","End"
"_preamble","_preamble.md","(document front matter)","1","10"
"00","00-how-to-use-this-document.md","SECTION 0 - HOW TO USE THIS DOCUMENT","11","62"
"01","01-the-product-in-one-page.md","SECTION 1 - THE PRODUCT, IN ONE PAGE","63","98"
"02","02-the-ten-design-laws.md","SECTION 2 - THE TEN DESIGN LAWS","99","124"
"03","03-legal-and-commercial-foundation.md","SECTION 3 - LEGAL AND COMMERCIAL FOUNDATION (READ BEFORE WRITING ANY CODE)","125","275"
"04","04-platform-versions-and-client-support.md","SECTION 4 - PLATFORM, VERSIONS, AND CLIENT SUPPORT","276","317"
"05","05-infrastructure-and-the-portability-contract.md","SECTION 5 - INFRASTRUCTURE AND THE PORTABILITY CONTRACT","318","425"
"06","06-performance-the-tick-budget.md","SECTION 6 - PERFORMANCE: THE TICK BUDGET","426","546"
"07","07-world-and-gameplay-core.md","SECTION 7 - WORLD AND GAMEPLAY CORE","547","617"
"08","08-the-economy.md","SECTION 8 - THE ECONOMY","618","686"
"09","09-rank-seasons-and-the-one-champion.md","SECTION 9 - RANK, SEASONS, AND THE ONE CHAMPION","687","812"
"10","10-the-rank-gated-shop.md","SECTION 10 - THE RANK-GATED SHOP","813","853"
"11","11-cosmetics-and-the-animation-question-answered.md","SECTION 11 - COSMETICS, AND THE ANIMATION QUESTION ANSWERED","854","924"
"12","12-the-competitive-layer-war-events-and-the-finale.md","SECTION 12 - THE COMPETITIVE LAYER: WAR EVENTS AND THE FINALE","925","990"
"13","13-voice-chat.md","SECTION 13 - VOICE CHAT","991","1043"
"14","14-rules-enforcement-and-keeping-the-server-clean.md","SECTION 14 - RULES, ENFORCEMENT, AND KEEPING THE SERVER CLEAN","1044","1153"
"15","15-homes-teleports-and-quality-of-life.md","SECTION 15 - HOMES, TELEPORTS, AND QUALITY OF LIFE","1154","1234"
"16","16-the-in-game-settings-menu.md","SECTION 16 - THE IN-GAME SETTINGS MENU","1235","1273"
"17","17-permissions-the-owner-and-admin-split.md","SECTION 17 - PERMISSIONS: THE OWNER AND ADMIN SPLIT","1274","1329"
"18","18-web-presence-and-the-store.md","SECTION 18 - WEB PRESENCE AND THE STORE","1330","1420"
"19","19-the-complete-command-reference.md","SECTION 19 - THE COMPLETE COMMAND REFERENCE","1421","1712"
"20","20-build-phases.md","SECTION 20 - BUILD PHASES","1713","1778"
"21","21-the-master-acceptance-test-table.md","SECTION 21 - THE MASTER ACCEPTANCE TEST TABLE","1779","1870"
"22","22-the-migration-runbook.md","SECTION 22 - THE MIGRATION RUNBOOK","1871","2204"
"23","23-the-defaults-and-decisions-table.md","SECTION 23 - THE DEFAULTS AND DECISIONS TABLE","2205","2305"
"24","24-open-questions-for-the-owner.md","SECTION 24 - OPEN QUESTIONS FOR THE OWNER","2306","2359"
"25","25-scope-discipline-what-we-deliberately-do-not-build.md","SECTION 25 - SCOPE DISCIPLINE: WHAT WE DELIBERATELY DO NOT BUILD","2360","2386"
"26","26-the-roadmap-after-launch.md","SECTION 26 - THE ROADMAP AFTER LAUNCH","2387","2438"
"A","A-plugin-and-component-categories.md","APPENDIX A - PLUGIN AND COMPONENT CATEGORIES","2439","2475"
"B","B-the-ranking-mathematics-in-full.md","APPENDIX B - THE RANKING MATHEMATICS, IN FULL","2476","2524"
"C","C-configuration-files-to-create.md","APPENDIX C - CONFIGURATION FILES TO CREATE","2525","2550"
"D","D-database-schema-outline.md","APPENDIX D - DATABASE SCHEMA OUTLINE","2551","2584"
"E","E-scripts-to-write.md","APPENDIX E - SCRIPTS TO WRITE","2585","2605"
"F","F-requirement-traceability-matrix.md","APPENDIX F - REQUIREMENT TRACEABILITY MATRIX","2606","2673"
"G","G-what-the-owner-did-not-ask-for-and-why-it-is-here.md","APPENDIX G - WHAT THE OWNER DID NOT ASK FOR, AND WHY IT IS HERE","2674","2716"
"27","27-building-this-with-ai-coding-agents-without-losing.md","SECTION 27 - BUILDING THIS WITH AI CODING AGENTS WITHOUT LOSING CONTEXT","2717","2896"
"28","28-the-build-procedure-running-this-project-with-an.md","SECTION 28 - THE BUILD PROCEDURE: RUNNING THIS PROJECT WITH AN AGENTIC CLI","2897","3054"
"29","29-pelican-and-the-repository-as-the-only-source-of.md","SECTION 29 - PELICAN, AND THE REPOSITORY AS THE ONLY SOURCE OF TRUTH","3055","3432"
"30","30-the-build-environment-decision-build-on-the-vps.md","SECTION 30 - THE BUILD ENVIRONMENT DECISION: BUILD ON THE VPS","3433","3520"
"31","31-the-completeness-pass.md","SECTION 31 - THE COMPLETENESS PASS","3521","3702"
"32","32-the-owner-action-protocol-never-stall-never-guess.md","SECTION 32 - THE OWNER-ACTION PROTOCOL: NEVER STALL, NEVER GUESS","3703","3819"
"33","33-day-zero-the-bootstrap-procedure.md","SECTION 33 - DAY ZERO: THE BOOTSTRAP PROCEDURE","3820","3979"
"_end","_end-of-document.md","END OF DOCUMENT","3980","3994"
